[WARNING] GrayscaleImage not available, falling back to OccupancyGrid.
[PPO] reward=comfort seed=42 steps=50000 policy=MlpPolicy
[PPO] run_dir=./logs/ppo/comfort/seed_42
[WARNING] GrayscaleImage not available, falling back to OccupancyGrid.
[WARNING] GrayscaleImage not available, falling back to OccupancyGrid.
Using cpu device
Logging to ./logs/ppo/comfort/seed_42/ppo_comfort_seed42_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 49.6     |
|    ep_rew_mean     | 4.76     |
| time/              |          |
|    fps             | 40       |
|    iterations      | 1        |
|    time_elapsed    | 12       |
|    total_timesteps | 512      |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 52.4         |
|    ep_rew_mean          | 5.58         |
| time/                   |              |
|    fps                  | 31           |
|    iterations           | 2            |
|    time_elapsed         | 32           |
|    total_timesteps      | 1024         |
| train/                  |              |
|    approx_kl            | 0.0048951567 |
|    clip_fraction        | 0.00918      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.61        |
|    explained_variance   | -0.616       |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0274      |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.0219      |
|    value_loss           | 0.664        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 44.9        |
|    ep_rew_mean          | 3.56        |
| time/                   |             |
|    fps                  | 28          |
|    iterations           | 3           |
|    time_elapsed         | 53          |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.010520699 |
|    clip_fraction        | 0.065       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.6        |
|    explained_variance   | -0.295      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0787     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0371     |
|    value_loss           | 0.0932      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 49.8         |
|    ep_rew_mean          | 5.12         |
| time/                   |              |
|    fps                  | 27           |
|    iterations           | 4            |
|    time_elapsed         | 73           |
|    total_timesteps      | 2048         |
| train/                  |              |
|    approx_kl            | 0.0105614625 |
|    clip_fraction        | 0.0648       |
