[WARNING] GrayscaleImage not available, falling back to OccupancyGrid.
[PPO] reward=baseline seed=42 steps=50000 policy=MlpPolicy
[PPO] run_dir=./logs/ppo/baseline/seed_42
[WARNING] GrayscaleImage not available, falling back to OccupancyGrid.
[WARNING] GrayscaleImage not available, falling back to OccupancyGrid.
Using cpu device
Logging to ./logs/ppo/baseline/seed_42/ppo_baseline_seed42_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 49.6     |
|    ep_rew_mean     | 13       |
| time/              |          |
|    fps             | 39       |
|    iterations      | 1        |
|    time_elapsed    | 13       |
|    total_timesteps | 512      |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 61.8        |
|    ep_rew_mean          | 18.6        |
| time/                   |             |
|    fps                  | 30          |
|    iterations           | 2           |
|    time_elapsed         | 33          |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.005169282 |
|    clip_fraction        | 0.00977     |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.61       |
|    explained_variance   | -0.693      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0564     |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0224     |
|    value_loss           | 0.579       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50.6        |
|    ep_rew_mean          | 13.4        |
| time/                   |             |
|    fps                  | 32          |
|    iterations           | 3           |
|    time_elapsed         | 47          |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.009084012 |
|    clip_fraction        | 0.0504      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.6        |
|    explained_variance   | -1.09       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0797     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0398     |
|    value_loss           | 0.0355      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 54.9        |
|    ep_rew_mean          | 15.4        |
| time/                   |             |
|    fps                  | 30          |
|    iterations           | 4           |
|    time_elapsed         | 67          |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.009867556 |
|    clip_fraction        | 0.0594      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.59       |
|    explained_variance   | -0.0497     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0812     |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0395     |
|    value_loss           | 0.0389      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 49.6        |
|    ep_rew_mean          | 13          |
| time/                   |             |
|    fps                  | 29          |
|    iterations           | 5           |
|    time_elapsed         | 88          |
|    total_timesteps      | 2560        |
| train/                  |             |
|    approx_kl            | 0.010059422 |
|    clip_fraction        | 0.0602      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.58       |
|    explained_variance   | -0.648      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.101      |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.043      |
|    value_loss           | 0.0278      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50.9        |
|    ep_rew_mean          | 13.6        |
| time/                   |             |
|    fps                  | 28          |
|    iterations           | 6           |
|    time_elapsed         | 108         |
|    total_timesteps      | 3072        |
| train/                  |             |
|    approx_kl            | 0.013518583 |
|    clip_fraction        | 0.102       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.56       |
|    explained_variance   | 0.2         |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0902     |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0486     |
|    value_loss           | 0.0352      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 52.6       |
|    ep_rew_mean          | 14.4       |
| time/                   |            |
|    fps                  | 27         |
|    iterations           | 7          |
|    time_elapsed         | 128        |
|    total_timesteps      | 3584       |
| train/                  |            |
|    approx_kl            | 0.01133475 |
|    clip_fraction        | 0.0902     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.54      |
|    explained_variance   | -0.244     |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0858    |
|    n_updates            | 60         |
|    policy_gradient_loss | -0.0509    |
|    value_loss           | 0.0294     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 51.9        |
|    ep_rew_mean          | 14.2        |
| time/                   |             |
|    fps                  | 27          |
|    iterations           | 8           |
|    time_elapsed         | 148         |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.013230458 |
|    clip_fraction        | 0.119       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.53       |
|    explained_variance   | -0.442      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.104      |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0532     |
|    value_loss           | 0.0344      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 57          |
|    ep_rew_mean          | 16.4        |
| time/                   |             |
|    fps                  | 27          |
|    iterations           | 9           |
|    time_elapsed         | 169         |
|    total_timesteps      | 4608        |
| train/                  |             |
|    approx_kl            | 0.015210748 |
|    clip_fraction        | 0.136       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.51       |
|    explained_variance   | -0.271      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.101      |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0552     |
|    value_loss           | 0.0268      |
