[WARNING] GrayscaleImage not available, falling back to OccupancyGrid.
[PPO] reward=aggressive seed=789 steps=50000 policy=MlpPolicy
[PPO] run_dir=./logs/ppo/aggressive/seed_789
[WARNING] GrayscaleImage not available, falling back to OccupancyGrid.
[WARNING] GrayscaleImage not available, falling back to OccupancyGrid.
Using cpu device
Logging to ./logs/ppo/aggressive/seed_789/ppo_aggressive_seed789_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 36.2     |
|    ep_rew_mean     | 28.1     |
| time/              |          |
|    fps             | 76       |
|    iterations      | 1        |
|    time_elapsed    | 6        |
|    total_timesteps | 512      |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 40.8         |
|    ep_rew_mean          | 32.1         |
| time/                   |              |
|    fps                  | 76           |
|    iterations           | 2            |
|    time_elapsed         | 13           |
|    total_timesteps      | 1024         |
| train/                  |              |
|    approx_kl            | 0.0038105794 |
|    clip_fraction        | 0.0041       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.61        |
|    explained_variance   | -0.653       |
|    learning_rate        | 0.0003       |
|    loss                 | 1.45         |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.0171      |
|    value_loss           | 0.558        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 40.2         |
|    ep_rew_mean          | 31.4         |
| time/                   |              |
|    fps                  | 76           |
|    iterations           | 3            |
|    time_elapsed         | 20           |
|    total_timesteps      | 1536         |
| train/                  |              |
|    approx_kl            | 0.0075991815 |
|    clip_fraction        | 0.0322       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.6         |
|    explained_variance   | -1.6         |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0909      |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.0362      |
|    value_loss           | 0.0274       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 46.3         |
|    ep_rew_mean          | 37.1         |
| time/                   |              |
|    fps                  | 76           |
|    iterations           | 4            |
|    time_elapsed         | 26           |
|    total_timesteps      | 2048         |
| train/                  |              |
|    approx_kl            | 0.0076404847 |
|    clip_fraction        | 0.0465       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.6         |
|    explained_variance   | -2.05        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0837      |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.0402      |
|    value_loss           | 0.0214       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 46.4        |
|    ep_rew_mean          | 37.2        |
| time/                   |             |
|    fps                  | 76          |
|    iterations           | 5           |
|    time_elapsed         | 33          |
|    total_timesteps      | 2560        |
| train/                  |             |
|    approx_kl            | 0.010857085 |
|    clip_fraction        | 0.0777      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.59       |
|    explained_variance   | -3.26       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.101      |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.048      |
|    value_loss           | 0.0142      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 46.7       |
