[WARNING] GrayscaleImage not available, falling back to OccupancyGrid.
[PPO] reward=conservative seed=42 steps=50000 policy=MlpPolicy
[PPO] run_dir=./logs/ppo/conservative/seed_42
[WARNING] GrayscaleImage not available, falling back to OccupancyGrid.
[WARNING] GrayscaleImage not available, falling back to OccupancyGrid.
Using cpu device
Logging to ./logs/ppo/conservative/seed_42/ppo_conservative_seed42_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 49.6     |
|    ep_rew_mean     | -33.3    |
| time/              |          |
|    fps             | 69       |
|    iterations      | 1        |
|    time_elapsed    | 7        |
|    total_timesteps | 512      |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 52.4       |
|    ep_rew_mean          | -33.9      |
| time/                   |            |
|    fps                  | 73         |
|    iterations           | 2          |
|    time_elapsed         | 14         |
|    total_timesteps      | 1024       |
| train/                  |            |
|    approx_kl            | 0.00443599 |
|    clip_fraction        | 0.0082     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.61      |
|    explained_variance   | -0.497     |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0321     |
|    n_updates            | 10         |
|    policy_gradient_loss | -0.0219    |
|    value_loss           | 0.986      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 47.9        |
|    ep_rew_mean          | -32.3       |
| time/                   |             |
|    fps                  | 74          |
|    iterations           | 3           |
|    time_elapsed         | 20          |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.010182066 |
|    clip_fraction        | 0.0553      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.6        |
|    explained_variance   | -0.184      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00824    |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0374     |
|    value_loss           | 0.256       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 48.4       |
|    ep_rew_mean          | -31.9      |
| time/                   |            |
|    fps                  | 74         |
|    iterations           | 4          |
|    time_elapsed         | 27         |
|    total_timesteps      | 2048       |
| train/                  |            |
|    approx_kl            | 0.00997797 |
|    clip_fraction        | 0.0602     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.58      |
|    explained_variance   | 0.11       |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0897     |
|    n_updates            | 30         |
|    policy_gradient_loss | -0.0419    |
|    value_loss           | 0.342      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 49.2        |
|    ep_rew_mean          | -31.7       |
| time/                   |             |
|    fps                  | 75          |
|    iterations           | 5           |
|    time_elapsed         | 33          |
|    total_timesteps      | 2560        |
| train/                  |             |
|    approx_kl            | 0.013635469 |
|    clip_fraction        | 0.0867      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.57       |
|    explained_variance   | 0.205       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0736     |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0435     |
|    value_loss           | 0.211       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 47.8        |
|    ep_rew_mean          | -31.2       |
| time/                   |             |
|    fps                  | 75          |
|    iterations           | 6           |
|    time_elapsed         | 40          |
|    total_timesteps      | 3072        |
| train/                  |             |
|    approx_kl            | 0.014756318 |
|    clip_fraction        | 0.0928      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.54       |
|    explained_variance   | -0.0589     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0431     |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0492     |
|    value_loss           | 0.297       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -31.3       |
| time/                   |             |
|    fps                  | 75          |
|    iterations           | 7           |
|    time_elapsed         | 47          |
|    total_timesteps      | 3584        |
| train/                  |             |
|    approx_kl            | 0.014830806 |
|    clip_fraction        | 0.121       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.51       |
|    explained_variance   | 0.163       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0782     |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0545     |
|    value_loss           | 0.269       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.7        |
|    ep_rew_mean          | -31.2       |
| time/                   |             |
|    fps                  | 67          |
|    iterations           | 8           |
|    time_elapsed         | 60          |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.016085336 |
|    clip_fraction        | 0.146       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.46       |
|    explained_variance   | 0.0196      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0715     |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0523     |
|    value_loss           | 0.122       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 57.6        |
|    ep_rew_mean          | -31.4       |
| time/                   |             |
|    fps                  | 57          |
|    iterations           | 9           |
|    time_elapsed         | 80          |
|    total_timesteps      | 4608        |
| train/                  |             |
|    approx_kl            | 0.019032959 |
|    clip_fraction        | 0.19        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.42       |
|    explained_variance   | 0.106       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0559     |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0585     |
|    value_loss           | 0.149       |
-----------------------------------------
[Eval @5000] NEW BEST mean_reward=-0.010
[Eval @5000] R=-0.0±3.9 CR=0.100 Spd=20.7 LC=18.8 SR=0.900
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 60.4        |
|    ep_rew_mean          | -31.5       |
| time/                   |             |
|    fps                  | 29          |
|    iterations           | 10          |
|    time_elapsed         | 172         |
|    total_timesteps      | 5120        |
| train/                  |             |
|    approx_kl            | 0.016048975 |
|    clip_fraction        | 0.185       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.39       |
|    explained_variance   | -0.0357     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0521     |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0557     |
|    value_loss           | 0.132       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 62.1        |
|    ep_rew_mean          | -31.5       |
| time/                   |             |
|    fps                  | 29          |
|    iterations           | 11          |
|    time_elapsed         | 192         |
|    total_timesteps      | 5632        |
| train/                  |             |
|    approx_kl            | 0.017018681 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.35       |
|    explained_variance   | -0.128      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.07       |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0476     |
|    value_loss           | 0.0862      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 62.8        |
|    ep_rew_mean          | -31.4       |
| time/                   |             |
|    fps                  | 28          |
|    iterations           | 12          |
|    time_elapsed         | 212         |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.019070037 |
|    clip_fraction        | 0.174       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.35       |
|    explained_variance   | 0.256       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0707     |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0569     |
|    value_loss           | 0.161       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 65.4        |
